"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ULTA","Ulta Salon, Cosmetics & Fragrance, Inc.","Services","Personal Services","USA",4189.14,52.25,68.45,14.54%,4657460
2,"HURC","Hurco Companies Inc.","Technology","Scientific & Technical Instruments","USA",165.89,107.33,25.76,9.06%,139386
3,"GCOM","Globecomm Systems Inc.","Technology","Networking & Communication Devices","USA",289.67,25.84,12.92,8.39%,220673
